แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
การมุสา	เพียงหนึ่งครา	พาเสียได้	อาจกลับกลาย	หมายมุสา	เป็นนิสัย	Even one lie can be damaging because it can become many habitual fabrications.
ความสุขศรี	มีกับเรา	ไม่ได้นาน	ควรมุ่งงาน	ปัจจุบัน	ให้สรรค์สร้าง	Any delight doesn't stay with us for long. We should attend to our present work creatively.
คนอื่นอื่น	ทุกข์ขมขื่น	มากกว่าเรา	ทุกข์บรรเทา	ถ้าใจเรา	ครองสติ	Others have more griefs than we. Our good consciousness can relax our torment.
การแต่งงาน	สำเร็จได้	ความหมายมี	คู่ชีวี	ต้องมีลด	ความยึดมั่น	A successful marriage is meaningful and spouses must reduce any tight grasp.
ทางลัดดี	มีเวลา	ค้นหานาน	ยาขนาน	ดีใดใด	ไยพบยาก	It takes a lot of time to discover a good shortcut and it's very hard to find a good type of drugs.
มากสิงสู่	อยู่ในใจ	มีหลายตน	ย่อมหลุดพ้น	เมื่อคุมใจ	ให้บริสุทธิ์	Many evils haunt the mind. Be released from them by controlling the purity of the mind.
โจรคือโจร	โดยสันดาน	ด้านคุณธรรม	ยากจะทำ	กลับตัวได้	จนปล่อยมือ	"Robers are robers with congenital traits against dharma, which are difficult to be reformed to the end."
ทุกสิ่งเป็น	เช่นมายา	เมฆาหมอก	เป็นเงาหลอก	ล้วนยึดมั่น	มันไม่ได้	Everything is illusion like clouds and fog. They are similar to deceptive shadows not graspable.
ความเกรงใจ	ให้แบบอย่าง	ของผู้ดี	ย้อนว่ามี	ครอบครัวดี	ถ่ายทอดไว้	Considerateness gives a model of noble people. It can retrospectively indicate a good transfer from a good family.
อันตราย	ถึงตายถ้า	พูดไม่คิด	ยิ่งสุขศรี	ถ้าพูดดี	ที่สร้างสรรค์	Bad speaking may be lethal but speaking well and creatively proceeds to happiness.
อันตราย	มีหลายอย่าง	มองไม่เห็น	ตัวอย่างเช่น	พวกภักษา	พาโรคร้าย	There are various dangers that are invisible such as some foods carrying diseases.
การตอบโต้	กับคนโง่	เสียเวลา	อุเบกขา	สื่อปัญญา	เตือนเขาก่อน	It's a waste of time to act in response to foolish persons. Use indifference and intelligence to warn them first.
ศิลปะ	การพูดจา	อย่าพลั้งไป	คำพูดใด	ไม่เหมาะสม	ควรหลีกเลี่ยง	No verbal words are found in eloquence and improper words are to be avoided.
ทุกบทเรียน	ในชีวี	มีหลายข้อ	ให้สู้ต่อ	แข็งแกร่งพอ	กับปัญหา	All the lessons in life are numerous. Continue struggle with enough vigour for all issues.
จงหวังใหม่	และฝันใหม่	เมื่อท้อใจ	จงสู้ต่อ	เพื่อชีวิต	จิตแจ่มใส	Renew your hope and dream when discouraged. Go on fighting for a bright life.
คนอื่นๆ	ขมขื่นสู้	กับชีวิต	ขัดเกลาจิต	คิดต่อสู้	เหมือนเขาบ้าง	Others bitterly struggle for life. Polish or scrape your mind to fight like them.
คำกล่าวสั้น	นั้นดีสุด	อาจจับใจ	ดีกว่าใช้	คำเยิ่นเย้อ	เสนอความ	Laconic words are best and may be forcible and are better than lengthy messages.
ปฏิภาณ	การเรียนรู้	ควรคู่กัน	ช่วยรู้ทัน	อย่างว่องไว	โดยไหวพริบ	Quickness of mind should accompany learning. And sensibility goes with alertness.
หลงสนุก	ย่อมพาทุกข์	พาอับจน	จงเป็นคน	พึ่งตนได้	ด้วยสติ	Craze for fun can lead you to troubles and the dead end. Rely on yourself with consciousness.
แต่งงานได้	ครองเรือนได้	ความหมายมี	และยิ่งดี	ที่ไม่คอย	พึ่งผู้ใหญ่	It is meaningful to be married and live the life of family and it is better not to rely on relative adults.
ภิกษุเป็น	เช่นผู้สอน	ทางจิตใจ	สอนใครใคร	ให้ลดละ	เลี่ยงกิเลส	Buddhist monks transfer edification to people and keep teaching how to decrease or avoid passion.
เสน่หา	ย่อมเกิดมา	จากน้ำใจ	"หล่อ,ไฉไล"	ให้เสน่ห์	ไม่นานเท่า	Glamour is derived from the good and can last longer than the charm derived from beauty and handsomness.
บางคนมี	จิตดีแต่	กำเนิดได้	ญาติทั้งหลาย	ไม่ได้ช่วย	แต่ดีเอง	Some have been good-natured since birth by themselves and their relatives have never helped them.
ความไม่รู้	พาไปสู่	มลทินร้าย	ผลทำลาย	เสียหลายด้าน	ต่อบ้านเมือง	Nescience is carried to bad blemishes resulting in defaming the country in many aspects.
ประสบการณ์	เป็นทั้งด้าน	การทดสอบ	สนองตอบ	เป็นบทเรียน	ให้เพียรรู้	Experience can be a test and do the duty of lessons to be learnt.
ทุกสิ่งเป็น	อย่างที่เห็น	เช่นนั้นหรือ	โลกนี้คือ	โลกมายา	อย่าหลงมัน	Is everything so as we see ? The world is delusive and don't be fascinated by it.
วิญญาณผี	มีในจิต	ผู้คิดเชื่อ	ผู้ไม่เชื่อ	หามีไม่	ในความคิด	Souls and ghosts exist only in the ideas of believers and nonbelievers have none of them in their minds.
ปัจจุบัน	ท่านควรทำ	ให้เกิดสุข	สุขหรือทุกข์	ในวันหน้า	อย่ายึดมั่น	You should bring about happiness at present. Don't be attached to sufferings or happiness in the future.
การฟังดี	ไม่มีการ	เสียอารมณ์	เพื่อสะสม	สิ่งศึกษา	หาข้อมูล	Good listening without disrupting feelings can accumulate studied things and sought data.
เมื่อวิชา	งอกงามมา	พาประเสริฐ	ย่อมชูเชิด	ชาติกำตนเกิด	อาศัยอยู่	"When academic matters grow well, it is excellent. This naturally upholds the country where they live."
อวิชชา	ถ้าหมดไป	ย่อมดีสุด	ช่วยดึงฉุด	ชาติของเรา	เข้าแนวหน้า	"If ignorance disappears, this will be the best, for our country will be pulled to the front line."
สัตว์ฉลาด	ดีเกินคาด	ฝึกแล้วเลิศ	คนประเสริฐ	และดีกว่า	ถ้าฝึกฝน	Clever animals can be trained to be excellent. Humans have more excellence through practices.
ค่าสวยหล่อ	ไม่นานพอ	เท่าปัญญา	เริ่มเสื่อมค่า	ตามเวลา	อายุวัย	"The value of handsomeness and beauty cannot last as long as that of intelligence, for it has to degenerate along with time and age."
สิ่งขวางใจ	ไม่ให้ข้าม	ทุกบ่วงบอน	คือนิวรณ์	ซ้อนเงื่อนปม	สะสมมา	"Lust, malice, sloth, pride and doubt are the complicated and accumulated knots that stop the minds from going to good deeds."
ลิ้นกับฟัน	กระทบกัน	นั่นมีบ้าง	ทำทุกอย่าง	อย่าทำให้	ใครเดือดร้อน	The tongue and teeth affect each other sometimes. Do everything without bothering others.
ความอดกลั้น	อย่างขัดติ	มีต่อกัน	เพื่อมุ่งมั่น	การป้องกัน	ความบาดหมาง	Use tolerance or patience with one another as the intention of preventing our dissension.
ชั่วปานใด	พ่อแม่ไม่	ตัดลูกได้	ทุกข์มากมาย	ได้แต่ตรอม	ใจอย่างยิ่ง	Parents cannot cut off their children although they are very wicked. But they have to be heart-sick.
มอบเชื่อใจ	ให้คนอื่น	อาจมักง่าย	อาจวอดวาย	กลายเป็นเหยื่อ	ภาพพจน์ลวง	Gullibility is regarded as heedlessness. Some may be ruined because they are victimized by a deceptive image.
รวยทรัพย์สิน	ถ้าสิ้นคิด	ย่อมเหมือนว่า	จนปัญญา	พายากไร้	สิ่งสร้างสรรค์	"Although very rich, some are thoughtless as if they are running out of ideas or destitute of creative things."
ความฉลาด	อาจไม่เกิด	จากความรู้	หลายกูรู	เป็นผู้ไร้	ปริญญา	Intelligence may not be derived from knowledge. Many gurus are those who have no degrees.
สุขอื่นใด	ไม่มีเท่า	ความสงบ	ช่วยค้นพบ	ตัวเองได้	และหลายสิ่ง	Any happiness doesn't equal serenity that supports the discovery of oneself and many other things.
ถ้าพูดจริง	ยิ่งปวดใจ	ไม่ต้องเอ่ย	อาจกล่าวเผย	มุสาได้	หมายเมตตา	"If speaking the truth is painful, stop it. Tell a white lie to receive mercy."
คาดหวังรอ	ส่อว่ายัง	มีชีวา	มีปญญา	แก้ปัญหา	ด้วยความหวัง	Waiting with expectation implies being alive. Use intelligence to solve problems hopefully.
เทคนิคดี	และปัญญา	มีค่าใด	ถ้าถูกใช้	พาไปสู่	เป้าหมายได้	What value good techniques and intelligence have if used and able to be carried to their targets.
ความผิดพลาด	อาจพิฆาต	ถึงตายได้	ถ้ามุ่งหมาย	ทำสิ่งใด	ไม่ระวัง	Making a mistake may be lethally destructive owing to attentiveness to doing things incautiously.
เตือนตนให้	ไม่ผิดพลาด	ได้เสียก่อน	จังสังวร	เตือนใครใคร	ไม่ให้พลั้ง	First remind yourself that you won't make any misstep and later remind others that they won't make a mistake either.
อย่าเอาใจ	ไปเกาะเกี่ยว	กับสิ่งใด	คงเลิศไว้	ในสติ	และปัญญา	Don't let your mind be attached to anything. Maintain your excellence in consciousness and wisdom.
สิ่งวิจารณ์	มีหลายด้าน	สอนคนได้	แต่อย่าหมาย	ได้ถ้ายทอด	อคติ	Criticisms have many aspects to teach people but should not be meant to transfer any prejudice.
ใช้เวลา	นำปัญญา	มาใส่ตน	ใช้คว้าค้น	กลวิธี	ปกป้องโลก	Spend your time putting intelligence in yourself and use it to detect strategies to protect the world.
ถ้าคนใด	ใฝ่การฝึก	ฝีดีแล้ว	ย่อมมีแวว	ความประเสริฐ	สมเกิดมา	"If some are interested in good practices, they are likely to have genius suitable for their birth."
พุทธปัญญา	การศึกษา	และวินัย	เปลี่ยนคนให้	ไม่ตาบอด	กลางพนา	Buddha's wisdom is education and disciplines changing people not to be blind in the jungle .
พวกคนป่า	เหมือนพวกมา	ศึกษาน้อย	ได้แต่คอย	พัฒนา	มังสากาย	Savages are like those little educated and they can develop only carnal matters.
มุ่งปัญญา	เหนือศรัทธา	และความเชื่อ	อย่าเป็นเหยื่อ	สิ่งมายา	มาครอบงำ	Set your heart on wisdom above faith. Don't be a victim of illusionary things and their overshadowing.
สงบปาก	สงบใจ	ไว้ดีกว่า	ใช้วาจา	มากกว่าคิด	จิตย่อมเสื่อม	It's better to keep quiet because more utterance than thinking causes mind deterioration.
ความสุขศรี	ควรอยู่ที่	ความสามารถ	ความฉลาด	ช่วยให้ปราศ	ความขัดแย้ง	Exultation is up to competence and sagacity makes conflicts disappear.
ควรชัดนำ	สิ่งตนทำ	ให้ดีสุด	และไม่หยุด	กุศลใด	ให้ส่วนรวม	Induce the best things of what you do and don't stop good deeds for the group as a whole.
ทำใครใคร	ให้รักเรา	คงไม่ได้	จงมุ่งหมาย	ได้มอบรัก	ให้โลกเรา	It's not possible to make all love us but be attentive to giving love to the world.
น้อยปัญญา	พาผลเสีย	ร้ายมหันต์	ค่อยทอนบั่น	สถาบัน	และบ้านเมือง	Scant intelligence brings extensively bad outcomes that gradually debilitate institutes and the country.
ศิลปะ	ทางศึกษา	มีค่ามาก	ยิ่งวิบาก	หากไร้ศิลป์	ทางปัญญา	Education techniques are very worthy. A lack of intelligence craft causes more obstruction.
สี่เท้าพลาด	แม้พวกปราชญ์	ยังอาจพลั้ง	ยากล้มพัง	ถ้ายังคง	เลิศสติ	"A quadruped may miss its footing, thus. A sage may err. But it's very difficult to fall if sensibility is maintained."
การรบรา	ฆ่ารบตี	ยังมีอยู่	หากเป็นผู้	อยู่อย่างด้อย	พัฒนา	Making war and killing still exist if they live like underdeveloped people.
การคิดผิด	ติดมาจาก	นิสัยเขลา	ความมัวเมา	พาเราสู่	ความวอดวาย	Any misbelief is derived from absurdity and infatuation leads us to ruin.
ภาษาโลก	ปัญญาโลก	นำโชคดี	ช่วยให้มี	หูตากว้าง	อย่างผู้รู้	The world language and intelligence bring good luck that helps to broaden the horizon as the wellinformed.
เลี้ยงไก่ฟ้า	ช่วยนำพา	บารมี	เพิ่มสุขศรี	ถ้ามีธรรม	ช่วยนำพา	Raising pheasants brings about virtue and more bliss comes if it is directed by dharma.
รักความจริง	ความถูกต้อง	ป้องสัจจา	ย่อมนำพา	ความสุขศรี	ที่การงาน	Love of verity and rightness with pledge protection brings about pleasedness in the office.
ความตั้งใจ	ความมั่นใจ	ในขั้นตอน	ช่วยสังวร	ทำแผนการ	งานสำคัญ	Attention to and confidence in steps of doing things help to teach planning important work.
ฝันกลางวัน	อยู่เรื่อยไป	ไร้ความหมาย	เริ่มทำได้	ในหลายสิ่ง	ที่เลือกทำ	It's meaningless to let daydreaming go on. Start doing many things that you select.
สิ่งเก่าดี	มีประโยชน์	พึงเก็บไว้	ได้สิ่งใหม่	ไม่ควรทิ้ง	สิ่งเก่านั้น	Old good things are useful and should be kept. You should not discard them after getting new things.
อย่าดีใจ	ในสิ่งที่	โกงเขามา	ภัยเยือนหา	พาถูกจับ	ต้องอับอาย	Don't be glad with the things you defraud because a jeopardy can come as a shameful arrest.
ถ้าสิ่งใด	เป็นภัยได้	ในภายหลัง	จงระวัง	อย่าทำมัน	ในวันนี้	"If anything can be perilous in the future, be watchful not to do it today."
ดีปัญญา	พาหูตา	สว่างได้	เลิกงมงาย	ได้เห็นความ	ถูกต้องจริง	Good wisdom can be guide to wide - awakeness. Any blind belief is stopped and the world of verity is seen.
การถ่อมจน	ไหวพริบดี	มีความรู้	ใช้ควบคู่	ปัญญาดี	มีแต่รุ่ง	"Humbleness, good astuteness and comprehension are used with wisdom for only glory."
ตามใจลูก	ยิ่งไม่ถูก	เรื่องอบรม	เหมือนเพาะบ่ม	ปมของความ	เห็นแก่ตัว	Yielding to the wishes of children is more incorrect about instruction and it is like cultivating an egoism complex.
คำสรรเสริญ	คำเยินยอ	ล่อเหยื่อมาก	ไม่กระดาก	คนส่วนมาก	อยากได้มัน	Praises and flattery allure many victims who are not abashed but desire them.
งามปัญญา	นำพาผล	หลายอย่างงาม	ผลพวงตาม	พัฒนา	พาชาติรุ่ง	Splendid intelligence brings many pretty results and many by products follow to make the country prosperous.
วิทยา	เพิ่มคุณค่า	ถ้าเรียนเข้ม	ช่วยเติมเต็ม	ภูมิปัญญา	สถาบัน	"Knowledge or science has more value if intensively learnt, completing the intelligence of each institute."
ชอบซักถาม	ติดตามค้น	หาความรู้	ย่อมเป็นผู้	สพพัญญู	กู้บ้านเมือง	Be inquisitive and searching for more knowledge and being omniscient to recover the country.
ประกายทอง	ฟ้องราคา	ดีหรือไม่	ประกายใด	ไหนจะเท่า	มโนธรรม	The gold radiance can tell estimation of something and what radiance can equal that of virtue and righteousness.
เรียนสิ่งใหม่	ให้ได้รู้	กว้างและไกล	อย่าทำใจ	ไปอยู่เกาะ	คับแคบเลย	Learn about novelties to be broadly and distantly accomplished. Don't make yourself insular or narrow-minded.
ยิ่งเอาใจ	ไปยึดมั่น	กับสิ่งใด	ยิ่งทุกข์ใจ	ทำให้โรค	รุมกายา	More attachment to anything causes more mental unhappiness and bodily sickness.
ทางพ้นทุกข์	พบหรือไม่	ใจควรถาม	อย่ามัวตาม	หาความสุข	ทุกข์แอบแฝง	Your heart should ask if suffering extinction can be found. Don't be engrossed with searching only joy concealing distress.
ควรทำใจ	ให้รู้รัก	การแบ่งปัน	แบบอย่างนั้น	ทอนบั่นความ	เห็นแก่ตัว	You should know portioning and that pattern can reduce selfishness.
อยู่โรงเรียน	อย่าเพียรรู้	แค่วิชา	ควรศึกษา	แก่นธรรมา	ฆ่ากิเลส	Don't try to know only subjects at school and the core of dharma should be studied to kill passion.
สิ่งสากล	ทุกเผ่าชน	ดั้นด้นหา	อนิจจา	หลายนักศึกษา	หาทำไม่	Every race members brave the way to seek universal things. Alas ! many students don't do so.
วิทยา	ที่ก้าวหน้า	และสากล	ช่วยเพิ่มผล	ดลปัญญา	มาช่วยชาติ	Advanced and cosmopolitan subjects help to be intelligence contribution to the country.
รู้นานา	ควรเก็บมา	ไว้เป็นคลัง	สร้างพลัง	เลือกจากคลัง	ใช้ทุกเมื่อ	A variety of knowledge should be collected as a treasure house creating power to be chosen anytime.
สิ่งเกินคาด	อาจเกิดขึ้น	ทุกเวลา	ใช้ปัญญา	อย่าเข้าใกล้	สิ่งภัยแฝง	Things beyond expectation may occur every time. Use wisdom not to stay near any concealed peril.
ใครจะเป็น	เช่นฮีโร่	ช่วยประชา	แก้ปัญหา	การเอาเปรียบ	เพียบอยุติธรรม	Who will be a hero to help people solve problems of taking advantage and plenitude of iniquity. ?
จนน้ำใจ	พาไปสู่	ความอับจน	ยิ่งไร้คน	งามจิตใจ	ไปคบหา	A scarcity of good will finds its way to friendlessness and many good-natured people don't want to be friends.
รวยน้ำใจ	พาไปสู้	ความมั่งมี	คนที่ดี	ที่ชอบใจ	ใฝ่คบหา	Plenty of good will gives a way to affluence because good and satisfied people would like to be friends.
ถ้าสิ่งใด	ไม่รู้จริง	อย่าอวดรู้	ควรอวดดู	สิ่งที่ดี	มีประโยชน์	Don't show off things that we don't know truly. You should display good and useful things.
ญาติมิตรเก่า	เคยช่วยเรา	เราอย่าลืม	เพราะมัวปลื้ม	คนหน้าใหม่	ที่ใกล้กว่า	We should not forget old relatives and friends because we have an interest in the delight of new ones that are closer.
ไม่รู้พอ	หรือจะรอ	ความสุขได้	สุขสบาย	เมื่อใจได้	รู้จักพอ	Can insatiateness wait for happiness ? Satiability can bring about happiness and comfort.
สุขแก่ท่าน	ความสุขนั้น	กลับถึงตัว	ทุกข์ถึงตัว	ถ้ามัวให้	ทุกข์แก่ท่าน	Giving happiness to others can come back to oneself. Suffering comes back to us if we give it to others.
พวกถ่อมตน	คนรักมาก	เพราะน่ายล	พวกพองขน	มีแต่คน	เกลียดไม่แล	Modest persons are lovely and admirable and those who like to bristle up the hair are hated by many.
เข้าข้างตน	จนลืมตัว	เมามัวได้	สิ่งเลวร้าย	ภายในตน	กลับว่าดี	Taking side with oneself can be unfelt and addicted. Bad things in oneself are regarded as good ones.
โลกเรานี้	มากมีแหล่ง	ของความรู้	ตรองเลือกดู	ทางเรียนรู้	ชั่วหรือดี	The world has many sources of knowledge. Consider which learning ways are good or bad.
อนัตตา	สุญญตา	ลึกซึ้งสุด	มวลมนุษย์	ทุกโลกา	หาพ้นไม่	Soullessness and vacuum are the most deeply-felt. All beings in every world cannot avoid them.
ในร่างกาย	โรคเกิดได้	นับไม่ถ้วน	หลายโรคล้วน	เกิดเพราะกิน	อย่างสิ้นคิด	In the body too many bad diseases can happen and they are caused by thoughtless eating.
แม้ทีหลัง	หัวเราะยัง	ดังกว่าเขา	คอยดูเรา	และดูเขา	ใครพร้อมกว่า	Even laughter can be louder than theirs afterwards. Keep looking at ourselves and them to see who has more readiness.
บางนักปราชญ์	อาจเป็นพวก	อันตราย	ถ้าไม่ได้	มีแก่นธรรม	ช่วยกำกับ	Some philosophers may be dangers if they don't have the essence of dharma to guide them.
มุ่งปัญญา	และวิชา	พาเลิศได้	ผลกลับร้าย	ถ้าไม่ได้	สอนแก่นธรรม	The intention of intelligence and subjects can be excellence but the results can turn to be bad if the essentials of dharma are not taught.
เด็กยากไร้	ในความมืด	สว่างได้	ถ้ามุ่งหมาย	จุดสว่าง	ทางปัญญา	Destitute children in the dark can be luminous if they intend to illuminate themselves.
บังคับตน	เองไม่ได้	ผลร้ายตาม	จัตไม่งาม	ทรามเป็นทาส	โลกโลกีย์	Incompetence to control oneself gives a bad result. The mean or servile mind is enslaved by the secular world.
พวกสุรา	พาไปสู่	ความตายได้	ชีพวอดวาย	เพราะได้เป็น	ทาสของมัน	Alcoholic drinks can cause death and life is ruined because it is enslaved by them.
ความพอใจ	ในสิ่งมี	สิ่งที่เป็น	จิตนิ่งเย็น	เป็นสุขแท้	อยู่ภายใน	Satisfaction of possessions and being whatever and nirvana can be equanimity.
สุขใดใด	พบทั่วไป	ในภายนอก	เป็นสิ่งหลอก	ยั่วจิตใจ	ไปหาทุกข์	Happy things are generally found outside and they entice the mind into sufferings
อย่าใส่ใจ	ให้พวกที่	ไม่ต่อสู้	เพราะเป็นผู้	ไม่รู้จัก	พึ่งตนเอง	Don't be attentive to those that don't struggle because they don't know how to depend on themselves.
สูญรักไป	อย่าเสียใจ	ให้เสียงาน	โลกหลายด้าน	น่าสงสาร	รอเรารัก	A loss of love should sadden us or spoil our work but many pitiful parts of the world wait for our love.
ความใฝ่รู้	ย่อมพาสู่	เลิศปัญญา	เพื่อนำมา	พัฒนา	ความสุขศรี	Being learned can be led to superior intelligence in order to be developed for prosperous happiness.
สมบูรณ์ดี	ทึ่ความรู้	และนิสัย	ประเสริฐใด	ไม่อาจเทียบ	แม้เทวดา	Perfection of knowledge and habits cannot be compared with by any excellent thing even an angel.
ดวงปัญญา	สุริยา	หาเทียบไม่	ประยุกต์ใช้	เกินโลกา	หาโลกอื่น	The sun cannot be on the same par as the brain power that can be applied beyond the world to seek other planets.
แสงสว่าง	เสมอปัญญา	หามีไม่	แต่แสงใด	ไหนจะเทียบ	สัจธรรม	The light on the same par as wisdom is not found but what light can be compared to verity.
ดวงแสงใด	ไหนจะเทียบ	ปัญญาคน	ส่องกมล	ทั่วสกล	พ้นโลกา	What illuminator can be compared with human wisdom ? The human brain power can light all over and beyond the world.
เลือกสิ่งใด	ที่มีมาก	รอบตัวเรา	ประยุกต์เอา	เป็นเพื่อนเรา	ได้เหมือนคน	Select many things surrounding us and they can be applied as our human friends.
ควรใส่ใจ	การผจญภัย	ให้ประโยชน์	เป็นสิ่งโปรด	เพิ่มปัญญา	พาท่องโลก	Have an interest in useful adventures that can be favorite things to increase intelligence and worldwide travel.
รักที่ใด	ไฟโลกีย์	มีที่นั่น	เพราะยึดมั่น	อยากอารมณ์	ปมเบื้องล่าง	"Where there is love, there is a fire of desires because of attachment to emotions at a degraded complex."
อยากชื่อเสียง	และลาภยศ	พาหมดธรรม	มักชี้นำ	อยุติธรรม	ให้ได้มา	Desires of gains and ranks can remove morals. Causing injustice to get them.
พวกนักปราชญ์	ฉลาดได้	ด้วยปัญญา	ประเสริฐกว่า	สิ่งนานา	เมื่อมาเทียบ	Wisdom makes philosophers erudite and excels other things when compared.
พวกทรัพย์สิน	สิ้นสูญไป	ให้โจนปล้น	แต่ดั้นด้น	ปล้นปัญญา	หาได้ไม่	Properties can be lost and robbed but cannot be forcingly plundered at all.
ทุกทรัพย์สิน	สิ้นสูญไป	ในอัคคี	ปัญญาดี	หรือจะมี	อัคคีเผา	All properties can be lost in the fire except good wisdom.
กันไว้ก่อน	ดีกว่าแก้	อย่างแน่นอน	ความทุกข์ร้อน	ทรมา	ไม่มาผลาญ	Certainly prevention is better than a cure for problems so that troubles and torment will not destroy us.
ไม่ยอมตรอง	มองดูตน	ค้นความรู้	ยิ่งเป็นผู้	ไม่รู้ธาตุ	แท้ของตน	Without an insight to discover knowledge are those who don't know their own real characteristics.
หลังเหตุการณ์	ด้านต่างต่าง	สอนอะไร	ช่วยเปิดใจ	ให้หูตา	พาสว่าง	"After different circumstances, what can teach to disillusion or illuminate us."
เพลงดนตรี	มีส่วนทำ	ฟุ่งซ่านได้	จงมุ่งหมาย	เลือกฟังได้	แต่อย่าหลง	The music and songs partly cause incoherent fancies and imaginations. Intend to select them but don't be enamoured with them.
ศิลปะดี	ย่อมมีสิ่ง	ดีสอนเรา	อย่ามุ่งเอา	สวยยิ่งใหญ่	ไร้ประโยชน์	Good arts have good things to teach us. Don't be attentive to great beauty but without usefulness.
เปลืองแก้ไข	ให้ปลายเหตุ	ไร้ผลดี	ควรหาที่	แปล่งทำยา	มาทำลาย	It's useless to cure the effect extravagantly. It's better to seek a narcotic source to destroy it.
คนชั่วร้าย	เพิ่มมากมาย	ได้ทุกที่	น้อยผู้ดี	มากมีคน	เห็นแก่ตัว	There is an increase of wicked people everywhere. There are few good people but many egoistic ones.
สิ่งพิรุธ	ย่อมหลุดมา	ถ้าทุจริต	ไม่ปกปิด	ถ้าจิตใจ	ใสสะอาด	A suspicious thing may be released if there is corruption. Pure mindedness doesn't necessarily cover anything.
ลำพองใจ	ในการทำ	ใครเสียหาย	ผลเลวร้าย	กระทบได้	สองฝ่ายเสีย	Who can be damaged by haughtiness in deeds ? The bad results can affect both sides.
ถ้าอดทน	เพื่อรอผล	ความสำเร็จ	ย่อมช่วยเสร็จ	สิ่งมุ่งหมาย	ได้เช่นกัน	"If endurance waits for the successful results, the aimed things can be achieved too."
ปรารถนา	หาสิ่งใด	ให้อดทน	ย่อมเป็นคน	คิดบวกไว้	ไม่เคยท้อ	Be patient with wishes to go on seeking something. Be naturally a person who positively thinks without losing heart.
ผีใดใด	ไม่หลอกเก่ง	เท่าคนได้	พวกเลวร้าย	หลอกโลกได้	หลอกตัวเอง	Any ghost cannot be good at terrifying like people. Evil persons can deceive the world and themselves.
ภัยธรรมชาติ	ไม่อาจเลว	เท่าคนได้	ต้องความตาย	จึงทำลาย	สันดานชั่ว	Natural disasters are not as vicious as many people. Only death can destroy their evil in-born traits.
เลิศวิชา	หาได้มี	คุณค่าไม่	ถ้าส่วนใหญ่	ถูกเสี้ยมให้	เห็นแก่ตัว	Excellent learning is not valuable if it mostly instils egoism into people.
พวกเด็กน้อย	คอยถูกหล่อ	หลอมโดยใคร	ปลูกฝังให้	ใจยึดมั่น	หลงอัตตา	By whom are small children gradually molded ? They are inculcated with egoism attachment.
อดทนไว้	แต่ไม่กล้า	เริ่มต้นใหม่	ยิ่งหวั่นใจ	ไม่พาสู่	ความสำเร็จ	Fortitude without any courage to begin again and more anxiety cannot bring success.
ชีวิตสั้น	อย่ามุ่งมั่น	สุขส่วนตน	จงเป็นคน	ที่มีค่า	มาป้องโลก	Life is short and don't aim at personal bliss-Be a valuable person to protect the world.
ถ้าแต่งงาน	กับคนพาล	ช้ำชีวา	จะดีกว่า	ถ้าเป็นโสด	ไร้บ่วงคล้อง	"If you are married to a mischievous person, you will be mentally hurt. It's better to be single without any loop."
มดหลงไหล	ในน้ำตาล	จนตัวตาย	คนมากมาย	ตายเพราะหลง	เสน่หา	Ants are infatuated with sugar until they are killed and many people die because of falling for some's charm.
ศิลปินดี	ย่อมต้องมี	ดีสื่อสอน	เตือนสังวร	สอนผ่านสื่อ	ศิลปะ	Good artists naturally have meaningful things to teach and artistic things conveyed through the media.
ความทรงจำ	นำสิ่งดี	บันทึกไว้	สิ่งปวดใจ	จำทำไม	เป็นภัยพิษ	Recollection should record only good things and don't contain painful and noxious things.
เหนือปัญญา	มีปัญญา	พาประเสริฐ	อย่าเลยเถิด	ว่าเกิดมา	ฉลาดสุด	There is wisdom above wisdom bringing superiority but don't exceedingly think you were born to be the cleverest.
นำปัญญา	มาเป็นเกราะ	คุ้มครองได้	แต่อย่าหมาย	ได้ดัดแปลง	เป็นอาวุธ	Utilize intelligence like a protective armor. Don't aim to apply it like weapon.
พวกราคะ	พวกโมหะ	และโทสา	กั้นปัญญา	พามัวเมา	เข้าตาจน	"A sexual desire, blind ignorance and indignation obstruct wisdom and make immersion be dead-end."
ใครพลาดล้ม	เราควรก้ม	ดึงขึ้นมา	เตือนตนว่า	ใครพลาดท่า	อย่าซ้ำเลย	"If some topple over, we should bend over and pull them up. Remind ourselves that if some make a slip, don't follow up with another blow."
ให้วาจา	คำสัญญา	เร็วเมื่อใด	มักลืมไว	ในสิ่งที่	ให้สัญญา	"Whenever promising words are quickly given, they are often rapidly forgotten."
สัจธรรม	นำปัญญา	อย่าดูดาย	อย่าทำคล้าย	ตกเป็นเหยื่อ	ความเชื่อลวง	Verity leads wisdom. Don't be indifferent and don't be like those victimized by deceptive belief.
สุขเล็กน้อย	คอยก่อตัว	ทุกข์มากมาย	เพราะกระหาย	ขาดไม่ได้	ในชีวิต	Little happiness but many sufferings pile up because of more desires that cannot be missing in life.
สิ่งดีสุด	ในโลกนี้	มีหรือไร	แค่ในใจ	พึงรู้ไว้	นามธรรม	Are there the best things in the world ? Know in mind that they are only abstract.
