แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
ตัวอย่างดี,มีบ้างไหม,เรื่องสมถะ,ช่วยลดละ,ความสิ้นเปลือง,เรื่องใช้จ่าย
หล่อหลอมให้,เด็กส่วนใหญ่,ตามแบบอย่าง,ล้วนอำพราง,เห็นแก่ตน,จนฟุ้งเฟ้อ
อย่ามุ่งหมาย,ใช้จ่ายอย่าง,มีแต่เสีย,จะละเหี่ย,เสียแต่ทรัพย์,ไม่มีเพิ่ม
รักสามเส้า,ยิ่งเข้าสู่,ความทุกข์ยาก,ไม่วิบาก,หากดำรง,ชิพด้วยธรรม
ทำประโยชน์,เพื่อส่วนใหญ่,ใจย่อมงาม,เพราะทำตาม,จาคะดี,ที่สร้างสรรค์
กำหนดประโยชน์,ตนมุ่งใช้,ให้แน่ชัด,แน่วแน่จัด,จุดหมายไว้,ให้กระจ่าง
พฤติกรรม,นำกำหนด,โชคชะตา,อย่าอ้างว่า,สิ่งศักดิ์สิทธิ์,ฤทธิ์ใดใด
พลาดสิ่งใด,ไม่ควรพลาด,กับมันอีก,สอนให้หลีก,ให้เจ็บจำ,ซ้ำยิ่งเจ็บ
เรื่องอาหาร,และการกิน,สำคัญมาก,ทุกข์วิบาก,จากหลายโรค,รุมสังขาร
สติปัญญา,พาใจเย็น,ให้พ้นทุกข์,ให้เลิกคลุก,ทุกข์ทางกาย,ได้ด้วยธรรม
ตัดสินใคร,ให้ลองดู,วงศาญาติ,ดูไม่พลาด,พฤติกรรม,เขาทำเอง
การนิ่งเย็น,บางทีเป็น,คำตอบดี,ตอบวจี,บางทีแล้ว,กลับไร้ผล
ธรรมทั้งหลาย,ได้รวมอยู่,ที่ใจเรา,เพื่อนำเอา,ตัดสินใจ,ในกรรมดี
ใจเป็นนาย,ได้คุมโลก,ทุกเวลา,ทุกกายา,เกิดมาเป็น,บ่าวรับใช้
ข้อเสีย ดี,มีให้เรียน,รู้มากมาย,สอนเราได้,รู้แก้ไข,ให้ถูกทาง
เก่งแต่คิด,ติดนิสัย,ไม่ชอบทำ,ยิ่งถลำ,หมดอุตส่าห์,พายากจน
คิดเผื่อไว้,ให้รอบคอบ,อย่างชอบธรรม,ย่อมชี้นำ,ทางออกให้,ไม่อับจน
จากความว่าง,สู้ความว่าง,อย่างสัจจา,ทุกชีวา,สิ้นสุดไป,ในตัวเอง
หลายชาวบ้าน,เก่งทางด้าน,เคล็ดลับดี,มีวิธี,ที่สร้างสรรค์,ผลพลอยได้
พวกสวะ,จะสร้างความ,เกลียดนักหนา,น่าเกลียดกว่า,ถ้าเป็นพวก,ทำลายไพร
จินตเหมือนลิง,วิ่งมาไป,ไยคุมยาก,ยิ่งวิบาก,หายปล่อยใจ,ให้เหลิงลอย
ปัญหาเก่า,เราคุ้นเคย,อยู่ร่ำไป,เหตุนั้นไซร้,ทางออกไป,จึงไม่เห็น
ควรซ่อนไว้,แหล่งที่ให้,สิ่งสร้างสรรค์,ขโมยกัน,ทางปัญญา,มาหลายแบบ
ยิ่งเอาใจ,ไปยึดมั่น,กับสิ่งใด,ความทุกข์ใจ,ยิ่งรุกมา,พาทุกข์กาย
ควรรู้ดี,มีชีวี,ดีอย่างไร,รู้จักใช้,ชีวิตนี้,ให้มีค่า
เมื่อยามกลัว,แกล้งทำตัว,เป็นผู้กล้า,ไม่ผวา,กับสิ่งใด,ให้ความกลัว
จอตแสนไว,ในอารมณ์,ปมความอยาก,ยิ่งทุกข์ยาก,หากความใคร่,จุดไฟรน
อำนาจจิต,นำคิดผิด,อยู่เสมอ,ยิ่งปรนเปรอ,ยิ่งต้องเจอ,ความเดือดร้อน
รู้เท่าทัน,แก้ปัญหา,พาถูกทาง,ทำทุกอย่าง,ไม่พลาดท่า,มารยาใด
ความอดทน,ช่วยฝึกฝน,นิสัยดี,รู้วิธี,การอดใจ,ไว้รอผล
เลิศสติ,สมาธิ,และปัญญา,สิ่งมายา,อย่านำมา,ปรุงแต่งจิต
เพื่อบุญญา,แข่งโหยหา,คว้าจับไว้,ช่วยปลดใจ,พ้นทุกข์ไหม,ให้ตรองดู
ทดลองให้,สิ่งใดบ้าง,แม่น้ำใจ,คำพูดให้,กำลังใจ,ปลอบใจบ้าง
มองเห็นทุกข์,ผู้อื่นบ้าง,อย่างไตร่ตรอง,แล้วทดลอง,ช่วยเขาบ้าง,อย่างเหมาะสม
หนังสือดี,มีคุณค่า,ไม่ถูกอ่าน,กลายเป็นบ้าน,ของฝุ่นหนา,มาอาศัย
แข่งตามอยาก,มากกิเลส,อาเพศผล,ทุกทุกคน,ทุกข์ดิ้นรน,ในโลกกลวง
ทุกสิ่งนั้น,มันไปรวม,อยู่ที่ใจ,ทุกข์คราใด,จงล้างใจ,ให้ว่างเปล่า
ความใส่ร้าย,ถ้าเชื่อง่าย,อาจตายใจ,ยิ่งเป็นภัย,ถ้าใส่ร้าย,ให้แตกกัน
เงียบทีท่า,อาจพลางตา,เสือแอบซุ่ม,อาจขยุ้ม,ผู้อยู่ใกล้,ให้ถึงตาย
การฝึกใจ,ให้ผลดี,มีหลายอย่าง,เพื่อนำทาง,ให้ก้าวย่าง,สู้โลกสูง
จิตฝึกแล้ว,ให้แน่วแน่,สุขแท้มา,ไม่ผวา,ไม่หวั่นไหว,ไปตามโลก
หวังสิ่งใด,รักสิ่งใด,ให้มุ่งทำ,ย่อมช่วยนำ,ความสุขใจ,ให้เราได้
ทุกหยดน้ำ,ตามกัดกร่อน,พวกก่อนหิน,แต่ยอดสิน,ทางปัญญา,หากร่อนไม่
สู้ด้วยใจ,ด้วยปัญญา,ศรัทธาแรง,ความรู้แจ้ง,ยิ่งเพิ่มแรง,สู้ต่อไป
กี่มารร้าย,ในร่างกาย,ของมนุษย์,หน้าผ่องผุด,ดุจผู้ดี,ที่ซ่อนคราบ
สิ่งที่หวัง,เป็นพลัง,เยียวยาทุกข์,ควรสนุก,กับปัญหา,ท้าแก้ไข
การฝึกฝน,อย่างเข้มข้น,พาสมบูรณ์,ช่วยเพิ่มพูน,ค่าของคน,จนเลิศได้
ชนปัญญา,รักษาใจ,ให้เย็นนิ่ง,ไม่ไหวติง,ตามทุกสิ่ง,ที่กระทบ
รักษาใจ,ให้ดีเถิด,เกิดเป็นคน,เพื่อมีผล,เป็นคนที่,ประเสริฐจริง
เชื่อตนว่า,เก่งเหนือกว่า,พาพลาดได้,สิงห์บางราย,ตายเพราะสิงห์,ที่เหนือกว่า
ไม่สนใจ,สิ่งน้อยนิด,อาจผิดคาด,ความพินาศ,อาจเกิดจาก,พวกฟืนไฟ
บ้างชนะ,หลายกีฬา,มามากมาย,น่าเสียดาย,กลับมาพ่าย,ภัยตัวเอง
วัตถุมงคล,พาหลายคน,ล่มวอดวาย,ความงมงาย,มิช่วยคลาย,ทุกข์ได้เลย
รู้สิ่งใด,ไม่เข้าใจ,ก็มากมี,และบางที,มีพวกไม่,เข้าใจตน
ความคิดดี,มีค่าเป็น,เช่นทองคำ,ถ้าถูกนำ,ไปใช้ได้,กลายเป็นเพชร
แม้กล้วยเน่า,เรายังใช้,เป็นประโยชน์,เป็นสิ่งโปรด,ของต้นไม้,ได้เป็นปุ๋ย
มองเห็นทุกข์,ของใครบ้าง,อย่างแยบยล,เพื่อหาค้น,ทางช่วยตน,พ้นทุกข์ได้
รักส่วนใหญ่,ใคร่เนื้อหนัง,และมังสา,ลดปัญญา,ไปที่อา,รมณ์เบื้องต่ำ
ผิดถูกมา,เป็นครูบา,สอนมากมาย,ให้มุ่งหมาย,ทรหด,หมดความท้อ
อัจฉริยภาพ,ปราบความเขลา,ในตนได้,มีบางราย,กลายเป็นเพชร,เพราะฝีมือ
อธิบาย,ด้วยเหตุผล,ดลปัญญา,ย่อมดีกว่า,มาถกเถียง,ด้วยอารมณ์
เรื่องเก่าใด,อาจเป็นภัย,ไม่สร้างสรรค์,ขุดคุยกัน,นั้นอาจสู่,การวิวาท
เมื่อพูดดี,มีคนรัก,พาสุขศรี,พูดไม่ดี,มีคนเกลียด,มีศัตรู
อันตราย,ร้ายเกินกว่า,มารใดเท่า,มารไหนเล่า,จะร้ายเท่า,กูของกู
ฉันของฉัน,นั้นดูเถิด,หามีไม่,ชีพใดใด,ไร้แก่นสาร,สาระจริง
จิตหมองเศร้า,เรายิ่งมี,ทุกข์ตามมา,พึงรักษา,ด้วยธรรมา,พานิ่งเย็น
เมื่อตจิตใจ,ไม่หมองเศร้า,เราเป็นสุข,เหตุแห่งทุกข์,คือมีใจ,ไม่รู้พอ
การมุสา,เพียงหนึ่งครา,พาเสียได้,อาจกลับกลาย,หมายมุสา,เป็นนิสัย
ความสุขศรี,มีกับเรา,ไม่ได้นาน,ควรมุ่งงาน,ปัจจุบัน,ให้สรรค์สร้าง
คนอื่นอื่น,ทุกข์ขมขื่น,มากกว่าเรา,ทุกข์บรรเทา,ถ้าใจเรา,ครองสติ
การแต่งงาน,สำเร็จได้,ความหมายมี,คู่ชีวี,ต้องมีลด,ความยึดมั่น
ทางลัดดี,มีเวลา,ค้นหานาน,ยาขนาน,ดีใดใด,ไยพบยาก
มากสิงสู่,อยู่ในใจ,มีหลายตน,ย่อมหลุดพ้น,เมื่อคุมใจ,ให้บริสุทธิ์
โจรคือโจร,โดยสันดาน,ด้านคุณธรรม,ยากจะทำ,กลับตัวได้,จนปล่อยมือ
ทุกสิ่งเป็น,เช่นมายา,เมฆาหมอก,เป็นเงาหลอก,ล้วนยึดมั่น,มันไม่ได้
ความเกรงใจ,ให้แบบอย่าง,ของผู้ดี,ย้อนว่ามี,ครอบครัวดี,ถ่ายทอดไว้
อันตราย,ถึงตายถ้า,พูดไม่คิด,ยิ่งสุขศรี,ถ้าพูดดี,ที่สร้างสรรค์
อันตราย,มีหลายอย่าง,มองไม่เห็น,ตัวอย่างเช่น,พวกภักษา,พาโรคร้าย
การตอบโต้,กับคนโง่,เสียเวลา,อุเบกขา,สื่อปัญญา,เตือนเขาก่อน
ศิลปะ,การพูดจา,อย่าพลั้งไป,คำพูดใด,ไม่เหมาะสม,ควรหลีกเลี่ยง
ทุกบทเรียน,ในชีวี,มีหลายข้อ,ให้สู้ต่อ,แข็งแกร่งพอ,กับปัญหา
จงหวังใหม่,และฝันใหม่,เมื่อท้อใจ,จงสู้ต่อ,เพื่อชีวิต,จิตแจ่มใส
คนอื่นๆ,ขมขื่นสู้,กับชีวิต,ขัดเกลาจิต,คิดต่อสู้,เหมือนเขาบ้าง
คำกล่าวสั้น,นั้นดีสุด,อาจจับใจ,ดีกว่าใช้,คำเยิ่นเย้อ,เสนอความ
ปฏิภาณ,การเรียนรู้,ควรคู่กัน,ช่วยรู้ทัน,อย่างว่องไว,โดยไหวพริบ
หลงสนุก,ย่อมพาทุกข์,พาอับจน,จงเป็นคน,พึ่งตนได้,ด้วยสติ
แต่งงานได้,ครองเรือนได้,ความหมายมี,และยิ่งดี,ที่ไม่คอย,พึ่งผู้ใหญ่
ภิกษุเป็น,เช่นผู้สอน,ทางจิตใจ,สอนใครใคร,ให้ลดละ,เลี่ยงกิเลส
เสน่หา,ย่อมเกิดมา,จากน้ำใจ,หล่อ ไฉไล,ให้เสน่ห์,ไม่นานเท่า
บางคนมี,จิตดีแต่,กำเนิดได้,ญาติทั้งหลาย,ไม่ได้ช่วย,แต่ดีเอง
ความไม่รู้,พาไปสู่,มลทินร้าย,ผลทำลาย,เสียหลายด้าน,ต่อบ้านเมือง
ประสบการณ์,เป็นทั้งด้าน,การทดสอบ,สนองตอบ,เป็นบทเรียน,ให้เพียรรู้
ทุกสิ่งเป็น,อย่างที่เห็น,เช่นนั้นหรือ,โลกนี้คือ,โลกมายา,อย่าหลงมัน
วิญญาณผี,มีในจิต,ผู้คิดเชื่อ,ผู้ไม่เชื่อ,หามีไม่,ในความคิด
ปัจจุบัน,ท่านควรทำ,ให้เกิดสุข,สุขหรือทุกข์,ในวันหน้า,อย่ายึดมั่น
การฟังดี,ไม่มีการ,เสียอารมณ์,เพื่อสะสม,สิ่งศึกษา,หาข้อมูล
เมื่อวิชา,งอกงามมา,พาประเสริฐ,ย่อมชูเชิด,ชาติกำตนเกิด,อาศัยอยู่
อวิชชา,ถ้าหมดไป,ย่อมดีสุด,ช่วยดึงฉุด,ชาติของเรา,เข้าแนวหน้า
สัตว์ฉลาด,ดีเกินคาด,ฝึกแล้วเลิศ,คนประเสริฐ,และดีกว่า,ถ้าฝึกฝน
ค่าสวยหล่อ,ไม่นานพอ,เท่าปัญญา,เริ่มเสื่อมค่า,ตามเวลา,อายุวัย
สิ่งขวางใจ,ไม่ให้ข้าม,ทุกบ่วงบอน,คือนิวรณ์,ซ้อนเงื่อนปม,สะสมมา
ลิ้นกับฟัน,กระทบกัน,นั่นมีบ้าง,ทำทุกอย่าง,อย่าทำให้,ใครเดือดร้อน
ความอดกลั้น,อย่างขัดติ,มีต่อกัน,เพื่อมุ่งมั่น,การป้องกัน,ความบาดหมาง
ชั่วปานใด,พ่อแม่ไม่,ตัดลูกได้,ทุกข์มากมาย,ได้แต่ตรอม,ใจอย่างยิ่ง
มอบเชื่อใจ,ให้คนอื่น,อาจมักง่าย,อาจวอดวาย,กลายเป็นเหยื่อ,ภาพพจน์ลวง
รวยทรัพย์สิน,ถ้าสิ้นคิด,ย่อมเหมือนว่า,จนปัญญา,พายากไร้,สิ่งสร้างสรรค์
ความฉลาด,อาจไม่เกิด,จากความรู้,หลายกูรู,เป็นผู้ไร้,ปริญญา
สุขอื่นใด,ไม่มีเท่า,ความสงบ,ช่วยค้นพบ,ตัวเองได้,และหลายสิ่ง
ถ้าพูดจริง,ยิ่งปวดใจ,ไม่ต้องเอ่ย,อาจกล่าวเผย,มุสาได้,หมายเมตตา
คาดหวังรอ,ส่อว่ายัง,มีชีวา,มีปญญา,แก้ปัญหา,ด้วยความหวัง
เทคนิคดี,และปัญญา,มีค่าใด,ถ้าถูกใช้,พาไปสู่,เป้าหมายได้
ความผิดพลาด,อาจพิฆาต,ถึงตายได้,ถ้ามุ่งหมาย,ทำสิ่งใด,ไม่ระวัง
เตือนตนให้,ไม่ผิดพลาด,ได้เสียก่อน,จังสังวร,เตือนใครใคร,ไม่ให้พลั้ง
อย่าเอาใจ,ไปเกาะเกี่ยว,กับสิ่งใด,คงเลิศไว้,ในสติ,และปัญญา
สิ่งวิจารณ์,มีหลายด้าน,สอนคนได้,แต่อย่าหมาย,ได้ถ้ายทอด,อคติ
ใช้เวลา,นำปัญญา,มาใส่ตน,ใช้คว้าค้น,กลวิธี,ปกป้องโลก
ถ้าคนใด,ใฝ่การฝึก,ฝีดีแล้ว,ย่อมมีแวว,ความประเสริฐ,สมเกิดมา
พุทธปัญญา,การศึกษา,และวินัย,เปลี่ยนคนให้,ไม่ตาบอด,กลางพนา
พวกคนป่า,เหมือนพวกมา,ศึกษาน้อย,ได้แต่คอย,พัฒนา,มังสากาย
มุ่งปัญญา,เหนือศรัทธา,และความเชื่อ,อย่าเป็นเหยื่อ,สิ่งมายา,มาครอบงำ
สงบปาก,สงบใจ,ไว้ดีกว่า,ใช้วาจา,มากกว่าคิด,จิตย่อมเสื่อม
ความสุขศรี,ควรอยู่ที่,ความสามารถ,ความฉลาด,ช่วยให้ปราศ,ความขัดแย้ง
ควรชัดนำ,สิ่งตนทำ,ให้ดีสุด,และไม่หยุด,กุศลใด,ให้ส่วนรวม
ทำใครใคร,ให้รักเรา,คงไม่ได้,จงมุ่งหมาย,ได้มอบรัก,ให้โลกเรา
น้อยปัญญา,พาผลเสีย,ร้ายมหันต์,ค่อยทอนบั่น,สถาบัน,และบ้านเมือง
ศิลปะ,ทางศึกษา,มีค่ามาก,ยิ่งวิบาก,หากไร้ศิลป์,ทางปัญญา
สี่เท้าพลาด,แม้พวกปราชญ์,ยังอาจพลั้ง,ยากล้มพัง,ถ้ายังคง,เลิศสติ
การรบรา,ฆ่ารบตี,ยังมีอยู่,หากเป็นผู้,อยู่อย่างด้อย,พัฒนา
การคิดผิด,ติดมาจาก,นิสัยเขลา,ความมัวเมา,พาเราสู่,ความวอดวาย
ภาษาโลก,ปัญญาโลก,นำโชคดี,ช่วยให้มี,หูตากว้าง,อย่างผู้รู้
เลี้ยงไก่ฟ้า,ช่วยนำพา,บารมี,เพิ่มสุขศรี,ถ้ามีธรรม,ช่วยนำพา
รักความจริง,ความถูกต้อง,ป้องสัจจา,ย่อมนำพา,ความสุขศรี,ที่การงาน
ความตั้งใจ,ความมั่นใจ,ในขั้นตอน,ช่วยสังวร,ทำแผนการ,งานสำคัญ
ฝันกลางวัน,อยู่เรื่อยไป,ไร้ความหมาย,เริ่มทำได้,ในหลายสิ่ง,ที่เลือกทำ
สิ่งเก่าดี,มีประโยชน์,พึงเก็บไว้,ได้สิ่งใหม่,ไม่ควรทิ้ง,สิ่งเก่านั้น
อย่าดีใจ,ในสิ่งที่,โกงเขามา,ภัยเยือนหา,พาถูกจับ,ต้องอับอาย
ถ้าสิ่งใด,เป็นภัยได้,ในภายหลัง,จงระวัง,อย่าทำมัน,ในวันนี้
ดีปัญญา,พาหูตา,สว่างได้,เลิกงมงาย,ได้เห็นความ,ถูกต้องจริง
การถ่อมจน,ไหวพริบดี,มีความรู้,ใช้ควบคู่,ปัญญาดี,มีแต่รุ่ง
ตามใจลูก,ยิ่งไม่ถูก,เรื่องอบรม,เหมือนเพาะบ่ม,ปมของความ,เห็นแก่ตัว
คำสรรเสริญ,คำเยินยอ,ล่อเหยื่อมาก,ไม่กระดาก,คนส่วนมาก,อยากได้มัน
งามปัญญา,นำพาผล,หลายอย่างงาม,ผลพวงตาม,พัฒนา,พาชาติรุ่ง
วิทยา,เพิ่มคุณค่า,ถ้าเรียนเข้ม,ช่วยเติมเต็ม,ภูมิปัญญา,สถาบัน
ชอบซักถาม,ติดตามค้น,หาความรู้,ย่อมเป็นผู้,สพพัญญู,กู้บ้านเมือง
ประกายทอง,ฟ้องราคา,ดีหรือไม่,ประกายใด,ไหนจะเท่า,มโนธรรม
เรียนสิ่งใหม่,ให้ได้รู้,กว้างและไกล,อย่าทำใจ,ไปอยู่เกาะ,คับแคบเลย
ยิ่งเอาใจ,ไปยึดมั่น,กับสิ่งใด,ยิ่งทุกข์ใจ,ทำให้โรค,รุมกายา
ทางพ้นทุกข์,พบหรือไม่,ใจควรถาม,อย่ามัวตาม,หาความสุข,ทุกข์แอบแฝง
ควรทำใจ,ให้รู้รัก,การแบ่งปัน,แบบอย่างนั้น,ทอนบั่นความ,เห็นแก่ตัว
อยู่โรงเรียน,อย่าเพียรรู้,แค่วิชา,ควรศึกษา,แก่นธรรมา,ฆ่ากิเลส
สิ่งสากล,ทุกเผ่าชน,ดั้นด้นหา,อนิจจา,หลายนักศึกษา,หาทำไม่
วิทยา,ที่ก้าวหน้า,และสากล,ช่วยเพิ่มผล,ดลปัญญา,มาช่วยชาติ
รู้นานา,ควรเก็บมา,ไว้เป็นคลัง,สร้างพลัง,เลือกจากคลัง,ใช้ทุกเมื่อ
สิ่งเกินคาด,อาจเกิดขึ้น,ทุกเวลา,ใช้ปัญญา,อย่าเข้าใกล้,สิ่งภัยแฝง
ใครจะเป็น,เช่นฮีโร่,ช่วยประชา,แก้ปัญหา,การเอาเปรียบ,เพียบอยุติธรรม
จนน้ำใจ,พาไปสู่,ความอับจน,ยิ่งไร้คน,งามจิตใจ,ไปคบหา
รวยน้ำใจ,พาไปสู้,ความมั่งมี,คนที่ดี,ที่ชอบใจ,ใฝ่คบหา
ถ้าสิ่งใด,ไม่รู้จริง,อย่าอวดรู้,ควรอวดดู,สิ่งที่ดี,มีประโยชน์
ญาติมิตรเก่า,เคยช่วยเรา,เราอย่าลืม,เพราะมัวปลื้ม,คนหน้าใหม่,ที่ใกล้กว่า
ไม่รู้พอ,หรือจะรอ,ความสุขได้,สุขสบาย,เมื่อใจได้,รู้จักพอ
สุขแก่ท่าน,ความสุขนั้น,กลับถึงตัว,ทุกข์ถึงตัว,ถ้ามัวให้,ทุกข์แก่ท่าน
พวกถ่อมตน,คนรักมาก,เพราะน่ายล,พวกพองขน,มีแต่คน,เกลียดไม่แล
เข้าข้างตน,จนลืมตัว,เมามัวได้,สิ่งเลวร้าย,ภายในตน,กลับว่าดี
โลกเรานี้,มากมีแหล่ง,ของความรู้,ตรองเลือกดู,ทางเรียนรู้,ชั่วหรือดี
อนัตตา,สุญญตา,ลึกซึ้งสุด,มวลมนุษย์,ทุกโลกา,หาพ้นไม่
ในร่างกาย,โรคเกิดได้,นับไม่ถ้วน,หลายโรคล้วน,เกิดเพราะกิน,อย่างสิ้นคิด
แม้ทีหลัง,หัวเราะยัง,ดังกว่าเขา,คอยดูเรา,และดูเขา,ใครพร้อมกว่า
บางนักปราชญ์,อาจเป็นพวก,อันตราย,ถ้าไม่ได้,มีแก่นธรรม,ช่วยกำกับ
มุ่งปัญญา,และวิชา,พาเลิศได้,ผลกลับร้าย,ถ้าไม่ได้,สอนแก่นธรรม
เด็กยากไร้,ในความมืด,สว่างได้,ถ้ามุ่งหมาย,จุดสว่าง,ทางปัญญา
บังคับตน,เองไม่ได้,ผลร้ายตาม,จัตไม่งาม,ทรามเป็นทาส,โลกโลกีย์
พวกสุรา,พาไปสู่,ความตายได้,ชีพวอดวาย,เพราะได้เป็น,ทาสของมัน
ความพอใจ,ในสิ่งมี,สิ่งที่เป็น,จิตนิ่งเย็น,เป็นสุขแท้,อยู่ภายใน
สุขใดใด,พบทั่วไป,ในภายนอก,เป็นสิ่งหลอก,ยั่วจิตใจ,ไปหาทุกข์
อย่าใส่ใจ,ให้พวกที่,ไม่ต่อสู้,เพราะเป็นผู้,ไม่รู้จัก,พึ่งตนเอง
สูญรักไป,อย่าเสียใจ,ให้เสียงาน,โลกหลายด้าน,น่าสงสาร,รอเรารัก
ความใฝ่รู้,ย่อมพาสู่,เลิศปัญญา,เพื่อนำมา,พัฒนา,ความสุขศรี
สมบูรณ์ดี,ทึ่ความรู้,และนิสัย,ประเสริฐใด,ไม่อาจเทียบ,แม้เทวดา
ดวงปัญญา,สุริยา,หาเทียบไม่,ประยุกต์ใช้,เกินโลกา,หาโลกอื่น
แสงสว่าง,เสมอปัญญา,หามีไม่,แต่แสงใด,ไหนจะเทียบ,สัจธรรม
ดวงแสงใด,ไหนจะเทียบ,ปัญญาคน,ส่องกมล,ทั่วสกล,พ้นโลกา
เลือกสิ่งใด,ที่มีมาก,รอบตัวเรา,ประยุกต์เอา,เป็นเพื่อนเรา,ได้เหมือนคน
ควรใส่ใจ,การผจญภัย,ให้ประโยชน์,เป็นสิ่งโปรด,เพิ่มปัญญา,พาท่องโลก
รักที่ใด,ไฟโลกีย์,มีที่นั่น,เพราะยึดมั่น,อยากอารมณ์,ปมเบื้องล่าง
อยากชื่อเสียง,และลาภยศ,พาหมดธรรม,มักชี้นำ,อยุติธรรม,ให้ได้มา
พวกนักปราชญ์,ฉลาดได้,ด้วยปัญญา,ประเสริฐกว่า,สิ่งนานา,เมื่อมาเทียบ
พวกทรัพย์สิน,สิ้นสูญไป,ให้โจนปล้น,แต่ดั้นด้น,ปล้นปัญญา,หาได้ไม่
ทุกทรัพย์สิน,สิ้นสูญไป,ในอัคคี,ปัญญาดี,หรือจะมี,อัคคีเผา
กันไว้ก่อน,ดีกว่าแก้,อย่างแน่นอน,ความทุกข์ร้อน,ทรมา,ไม่มาผลาญ
ไม่ยอมตรอง,มองดูตน,ค้นความรู้,ยิ่งเป็นผู้,ไม่รู้ธาตุ,แท้ของตน
หลังเหตุการณ์,ด้านต่างต่าง,สอนอะไร,ช่วยเปิดใจ,ให้หูตา,พาสว่าง
เพลงดนตรี,มีส่วนทำ,ฟุ่งซ่านได้,จงมุ่งหมาย,เลือกฟังได้,แต่อย่าหลง
ศิลปะดี,ย่อมมีสิ่ง,ดีสอนเรา,อย่ามุ่งเอา,สวยยิ่งใหญ่,ไร้ประโยชน์
เปลืองแก้ไข,ให้ปลายเหตุ,ไร้ผลดี,ควรหาที่,แปล่งทำยา,มาทำลาย
คนชั่วร้าย,เพิ่มมากมาย,ได้ทุกที่,น้อยผู้ดี,มากมีคน,เห็นแก่ตัว
สิ่งพิรุธ,ย่อมหลุดมา,ถ้าทุจริต,ไม่ปกปิด,ถ้าจิตใจ,ใสสะอาด
ลำพองใจ,ในการทำ,ใครเสียหาย,ผลเลวร้าย,กระทบได้,สองฝ่ายเสีย
ถ้าอดทน,เพื่อรอผล,ความสำเร็จ,ย่อมช่วยเสร็จ,สิ่งมุ่งหมาย,ได้เช่นกัน
ปรารถนา,หาสิ่งใด,ให้อดทน,ย่อมเป็นคน,คิดบวกไว้,ไม่เคยท้อ
ผีใดใด,ไม่หลอกเก่ง,เท่าคนได้,พวกเลวร้าย,หลอกโลกได้,หลอกตัวเอง
ภัยธรรมชาติ,ไม่อาจเลว,เท่าคนได้,ต้องความตาย,จึงทำลาย,สันดานชั่ว
เลิศวิชา,หาได้มี,คุณค่าไม่,ถ้าส่วนใหญ่,ถูกเสี้ยมให้,เห็นแก่ตัว
พวกเด็กน้อย,คอยถูกหล่อ,หลอมโดยใคร,ปลูกฝังให้,ใจยึดมั่น,หลงอัตตา
อดทนไว้,แต่ไม่กล้า,เริ่มต้นใหม่,ยิ่งหวั่นใจ,ไม่พาสู่,ความสำเร็จ
ชีวิตสั้น,อย่ามุ่งมั่น,สุขส่วนตน,จงเป็นคน,ที่มีค่า,มาป้องโลก
ถ้าแต่งงาน,กับคนพาล,ช้ำชีวา,จะดีกว่า,ถ้าเป็นโสด,ไร้บ่วงคล้อง
มดหลงไหล,ในน้ำตาล,จนตัวตาย,คนมากมาย,ตายเพราะหลง,เสน่หา
ศิลปินดี,ย่อมต้องมี,ดีสื่อสอน,เตือนสังวร,สอนผ่านสื่อ,ศิลปะ
ความทรงจำ,นำสิ่งดี,บันทึกไว้,สิ่งปวดใจ,จำทำไม,เป็นภัยพิษ
เหนือปัญญา,มีปัญญา,พาประเสริฐ,อย่าเลยเถิด,ว่าเกิดมา,ฉลาดสุด
นำปัญญา,มาเป็นเกราะ,คุ้มครองได้,แต่อย่าหมาย,ได้ดัดแปลง,เป็นอาวุธ
พวกราคะ,พวกโมหะ,และโทสา,กั้นปัญญา,พามัวเมา,เข้าตาจน
ใครพลาดล้ม,เราควรก้ม,ดึงขึ้นมา,เตือนตนว่า,ใครพลาดท่า,อย่าซ้ำเลย
ให้วาจา,คำสัญญา,เร็วเมื่อใด,มักลืมไว,ในสิ่งที่,ให้สัญญา
สัจธรรม,นำปัญญา,อย่าดูดาย,อย่าทำคล้าย,ตกเป็นเหยื่อ,ความเชื่อลวง
สุขเล็กน้อย,คอยก่อตัว,ทุกข์มากมาย,เพราะกระหาย,ขาดไม่ได้,ในชีวิต
สิ่งดีสุด,ในโลกนี้,มีหรือไร,แค่ในใจ,พึงรู้ไว้,นามธรรม
การหัวเราะ,เป็นนิสัย,ให้คุณค่า,ช่วยเยียวยา,ยามเป็นทุกข์,ให้สุขแด
จิตผ่องใส,ให้เห็นโลก,ใสกระจ่าง,ไม่พร่าอย่าง,จิตขุ่นหมอง,มองดูโลก
จัตขุ่นมัว,มักลืมตัว,ไม่เห็นตน,กลับเสียผล,ประโยชน์ดี,ที่ควรได้
เลิศปัญญา,มาเป็นเครื่อง,วินิจฉัย,ประยุกต์ใช้,ให้วิเคราะห์,ได้ทุกสิ่ง
สิ่งใดใด,ใครต่อใคร,และเวลา,มีคุณค่า,มาเตือนเรา,ให้ตื่นตัว
ภาพวาดดี,ย่อมมีค่า,มาสอนใจ,สอนให้ใช้,วิจารณญาณ,ด้านเหตุผล
